蓝图大区,蓝图赛道,责任候选,总数,可竞聘,可入围需补证,暂停竞聘,不参评,可合并,需拆分,保留变体,待核验,代表性skill,业务看点,下一步
经营治理,责任与授权治理,消费者需求洞察,288,249,39,0,0,18,0,270,0,andrej-karpathy-perspective；browser-task；browser-task；browser-task；browser-task；campaign-planner；Claude 教程采集与翻译项目；doubao-critical-reading-companion,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,商业论证,123,123,0,0,0,0,0,123,0,p2s-ad-to-behavior-funnel；p2s-ad-to-behavior-funnel；p2s-agent-finance-autopilot；p2s-agent-finance-autopilot；p2s-agenticpay-procurement-negotiation；p2s-agenticpay-procurement-negotiation；p2s-agentracer-mas-failure-attribution；p2s-agentracer-mas-failure-attribution,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合比较经营选项、投入风险、学习价值和成立条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,产品定义,15,15,0,0,0,0,0,15,0,p2s-agent-error-budget；p2s-agent-error-budget；p2s-agent-error-budget；p2s-agentic-ab-testing；p2s-agentic-ab-testing；p2s-cabb-cross-category-attribution；p2s-cabb-cross-category-attribution；p2s-delivery-promise-optimization,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合把需求和经营选择翻译成可验证的产品要求。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,产品验证,25,11,14,0,0,14,0,11,0,book-knowledge-extraction；cashflow-valuation；dingtalk-drive；doubao-industry-analysis；doubao-industry-analysis；doubao-industry-analysis；doubao-industry-analysis；doubao-paper-close-reading,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合形成带证据、范围和缺口的验证结论。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,产品实现,6,4,2,0,0,2,0,4,0,andrej-karpathy-perspective；munger-perspective；p2s-tool-description-audit；p2s-tool-description-audit；p2s-user-lifecycle-stan；p2s-user-lifecycle-stan,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合产出方案、样品或实现说明，但不代表验证通过。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,渠道发布与可售核验,2,2,0,0,0,0,0,2,0,亚马逊PPC分析；亚马逊PPC分析,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合区分提交、渠道接受和实际可售状态。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,产品市场准入,1,1,0,0,0,0,0,1,0,定制模板生成,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合判断某个版本、市场、用途或宣称是否可进入。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,内容策划与表达,1,1,0,0,0,0,0,1,0,dingtalk-wiki,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合把主张、资料和人群问题转成内容方案或素材。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
经营治理,责任与授权治理,经营经济性评估,1,1,0,0,0,0,0,1,0,stock-finance-profiler,这个 skill 能否把谁负责、谁验收、什么条件下能用讲清楚？ 适合说明成本、贡献、现金影响和敏感条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,知识与方法,消费者需求洞察,24,19,5,0,0,4,0,20,0,iteration-planner；p2s-aigc-authenticity-trust-framework；p2s-amazon-tos-compliance-guardrail；p2s-concat-consensus-decentralized-mas；p2s-concat-consensus-decentralized-mas；p2s-data-collection-agent-pipeline；p2s-fraudsquad-llm-review-detection；p2s-hcce-concept-hierarchy-embedding,这个 skill 能否沉淀成可复用的方法、知识或作业候选？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,知识与方法,商业论证,4,4,0,0,0,0,0,4,0,p2s-customer-journey-analytics；p2s-multi-source-user-identity-unification；p2s-ranking-interleaving-ab；p2s-writeback-rag-trainable-kb,这个 skill 能否沉淀成可复用的方法、知识或作业候选？ 适合比较经营选项、投入风险、学习价值和成立条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,知识与方法,产品定义,4,3,1,0,0,0,0,4,0,p2s-brand-registry-infringement-tracker；p2s-graphtrack-cross-device-tracking；p2s-nonitem-page-path-modeling；Agent,这个 skill 能否沉淀成可复用的方法、知识或作业候选？ 适合把需求和经营选择翻译成可验证的产品要求。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,知识与方法,产品验证,6,2,4,0,0,4,0,2,0,doubao-research-proposal；doubao-research-proposal；doubao-research-proposal；doubao-research-proposal；竞品替代分析；竞品替代分析,这个 skill 能否沉淀成可复用的方法、知识或作业候选？ 适合形成带证据、范围和缺口的验证结论。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,知识与方法,产品实现,1,1,0,0,0,0,0,1,0,grade2-math-worksheet,这个 skill 能否沉淀成可复用的方法、知识或作业候选？ 适合产出方案、样品或实现说明，但不代表验证通过。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,知识与方法,产品市场准入,1,1,0,0,0,0,0,1,0,brand-naming-lab,这个 skill 能否沉淀成可复用的方法、知识或作业候选？ 适合判断某个版本、市场、用途或宣称是否可进入。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,消费者需求洞察,177,156,21,0,0,21,0,156,0,aily-cli-event；aily-cli-event；alibaba-global-ai-image-studio；alibaba-global-chat-analysis-pro；alibaba-global-product-publish；alibaba-prohibited-rule-interpretation；build-ai-report；dingtalk-doc,这个 skill 能否提供可信数据、口径或对象关系？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,商业论证,76,76,0,0,0,0,0,76,0,p2s-account-fingerprint-risk-scorer；p2s-ad-creative-personalization-bandit；p2s-agent-capability-evaluation；p2s-ai-parenting-advice-hallucination-guard；p2s-ai-product-safety-certification；p2s-ai-product-safety-certification；p2s-algorithmic-accountability-audit；p2s-ares-rag-evaluation,这个 skill 能否提供可信数据、口径或对象关系？ 适合比较经营选项、投入风险、学习价值和成立条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,产品实现,30,26,4,0,0,2,0,28,0,competitive-report；fyopen-lawsearch；http-load-tester；jenkins-plugin-skeleton-generator-skill；k8s-cluster-ops；linkfox-aba-intelligent-query；linkfox-dld-product-billboard；linkfox-echotik-get-video-download-url,这个 skill 能否提供可信数据、口径或对象关系？ 适合产出方案、样品或实现说明，但不代表验证通过。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,产品定义,21,21,0,0,0,0,0,21,0,code-documenter；p2s-agent-slo-manager；p2s-blockecho-missing-data；p2s-blockecho-missing-data；p2s-brand-registry-infringement-tracker；p2s-causalrag-knowledge-retrieval；p2s-causalrag-knowledge-retrieval；p2s-graphtrack-cross-device-tracking,这个 skill 能否提供可信数据、口径或对象关系？ 适合把需求和经营选择翻译成可验证的产品要求。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,产品验证,18,13,5,0,0,5,0,13,0,agentic-eval；llm-security；llm-security；llm-security；llm-security；llm-security；p2s-agent-memory-learning；p2s-agent-memory-learning,这个 skill 能否提供可信数据、口径或对象关系？ 适合形成带证据、范围和缺口的验证结论。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,产品市场准入,5,5,0,0,0,0,0,5,0,linkfox-ruiguan-detection-patent-design；pkulaw；Skill家族管理；Skill家族管理；tyc-mcp,这个 skill 能否提供可信数据、口径或对象关系？ 适合判断某个版本、市场、用途或宣称是否可进入。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,内容策划与表达,5,3,2,0,0,2,0,3,0,doubao-visualization；doubao-visualization；linkfox-zhihuiya-abstract-image；linkfox-zhihuiya-patent-image-search；linkfox-zhihuiya-utility-patent-image-search,这个 skill 能否提供可信数据、口径或对象关系？ 适合把主张、资料和人群问题转成内容方案或素材。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,上市经营策划,5,1,4,0,0,4,0,1,0,browser-rpa-run；doubao-public-company-analysis；doubao-public-company-analysis；doubao-public-company-analysis；doubao-public-company-analysis,这个 skill 能否提供可信数据、口径或对象关系？ 适合组织目标客群、价值承诺、进入安排和经营验证。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,经营经济性评估,1,1,0,0,0,0,0,1,0,line-chart-visualization,这个 skill 能否提供可信数据、口径或对象关系？ 适合说明成本、贡献、现金影响和敏感条件。,挑选代表样本进入能力竞聘初筛，补齐输入样例、输出样例和验收证据。
能力供给,数据与语义,付费媒体投放与优化,4,0,4,0,0,4,0,0,0,research-synthesis；research-synthesis；research-synthesis；research-synthesis,这个 skill 能否提供可信数据、口径或对象关系？ 适合产出投放方案或优化反馈，但要先确认授权边界。,先补证，再判断是否开放竞聘。
能力供给,工具与运行,消费者需求洞察,32,0,32,0,0,0,0,32,0,douyinvideo-copy-extract；ecommerce-search；lexiang-base；LLM技术调研；LLM技术调研；p2s-ai-product-video-script-generator；p2s-brand-listing-hijacking-detection；p2s-graph-knowledge-distillation-recommendation,这个 skill 能否稳定支撑某个工作流或工具调用？ 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,先补证，再判断是否开放竞聘。
能力供给,工具与运行,商业论证,15,0,15,0,0,0,0,15,0,p2s-account-fingerprint-risk-scorer；p2s-agent-capability-evaluation；p2s-ai-parenting-advice-hallucination-guard；p2s-algorithmic-accountability-audit；p2s-crag-comprehensive-rag-benchmark；p2s-federated-cross-seller-recommendation；p2s-interleaving-experiment-design；p2s-interleaving-experiment-recommendation,这个 skill 能否稳定支撑某个工作流或工具调用？ 适合比较经营选项、投入风险、学习价值和成立条件。,先补证，再判断是否开放竞聘。
能力供给,工具与运行,产品实现,4,0,4,0,0,0,0,4,0,gantt-chart-builder；linkfox-zhihuiya-bibliography；linkfox-zhihuiya-simple-bibliography；Project Bootstrapping,这个 skill 能否稳定支撑某个工作流或工具调用？ 适合产出方案、样品或实现说明，但不代表验证通过。,先补证，再判断是否开放竞聘。
能力供给,工具与运行,产品定义,1,0,1,0,0,0,0,1,0,p2s-agent-slo-manager,这个 skill 能否稳定支撑某个工作流或工具调用？ 适合把需求和经营选择翻译成可验证的产品要求。,先补证，再判断是否开放竞聘。
能力供给,通用支持,商业论证,6,0,6,0,0,0,0,6,0,p2s-ad-creative-personalization-bandit；p2s-digital-wellbeing-screen-time-model；p2s-privacy-coppa-compliance；p2s-privacy-safe-identity-resolution；p2s-supplier-delivery-quality-rate-kpi；p2s-tiktok-repurchase-from-live-audience,这个 skill 有用，但现在还没说清楚要服务哪个经营问题。 适合比较经营选项、投入风险、学习价值和成立条件。,先补证，再判断是否开放竞聘。
能力供给,通用支持,消费者需求洞察,5,0,5,0,0,0,0,5,0,customer-reply-craft；p2s-consumer-complaint-recall-prediction；p2s-recommendation-compliance-filter；p2s-review-attack-hawkes-process；seedance-storyboard,这个 skill 有用，但现在还没说清楚要服务哪个经营问题。 适合补齐需求证据、问题地图、VOC 或用户痛点判断。,先补证，再判断是否开放竞聘。
能力供给,通用支持,产品定义,3,0,3,0,0,0,0,3,0,p2s-listing-suppression-detection；工艺包生成器；工艺包生成器,这个 skill 有用，但现在还没说清楚要服务哪个经营问题。 适合把需求和经营选择翻译成可验证的产品要求。,先补证，再判断是否开放竞聘。
能力供给,通用支持,产品市场准入,2,0,2,0,0,0,0,2,0,冷邮件；冷邮件,这个 skill 有用，但现在还没说清楚要服务哪个经营问题。 适合判断某个版本、市场、用途或宣称是否可进入。,先补证，再判断是否开放竞聘。
待复核,待补证池,待人工判断,10606,0,0,10606,0,0,0,0,10606,1688找货选品；3-statements；A+ 模块化内容生成（吸奶器/母婴电器模板）；ab-testing；academic-paper-reviewer；academic-writing；accio-mcp-cli；accio-product-supplier-sourcing,这个 skill 信息还不够，先问清楚能不能用、怎么验收。 还没定位到明确责任节点，需要人工看原文和证据。,先做人工复核或排除，不进入正式能力竞聘。
范围外,非三宝候选,待人工判断,202,0,0,0,202,0,0,0,202,ai-elements；ai-elements；ai-elements；asset-generator；chrono-flow；Design Wizard；doubao-app-builder；doubao-market-hotspot,这个 skill 暂不服务当前三宝经营网络。 还没定位到明确责任节点，需要人工看原文和证据。,先做人工复核或排除，不进入正式能力竞聘。
