candidate_id,候选名称,候选层级,数字员工候选,三宝Preset候选,业务价值类型,问题类型,主核心能力,包含skill数,平均置信度,优先级,代表技能,建议下一步,复核原因
SANBAO-a2b41a57-优化决策,Shopify AI/BI 运营 Preset｜优化决策｜NLP/情感分析,Preset/数字员工能力池候选,Shopify 运营分析员,Shopify AI/BI 运营 Preset,增长与收入,优化决策,NLP/情感分析,37,0.949,P1-优先工作流/Preset,p2s-aigp-llm-dynamic-pricing；p2s-aigp-llm-dynamic-pricing；p2s-human-ai-calibrated-trust；p2s-human-ai-calibrated-trust；p2s-long-tail-keyword-mining；p2s-long-tail-keyword-mining；p2s-ltv-prediction-ziln；p2s-ltv-prediction-ziln,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-4a66cc08-优化决策,Shopify AI/BI 运营 Preset｜优化决策｜预测建模,Preset/数字员工能力池候选,Shopify 运营分析员,Shopify AI/BI 运营 Preset,增长与收入,优化决策,预测建模,131,0.947,P1-优先工作流/Preset,cbec-complex-contribution；cbec-pricing-optimization；p2s-abandoned-cart-recovery-trigger；p2s-abandoned-cart-recovery-trigger；p2s-account-health-proactive-monitor；p2s-account-health-proactive-monitor；p2s-ad-spend-inventory-sync；p2s-ad-spend-inventory-sync,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-9e0d43bd-优化决策,增长与收入 × 优化决策 Preset 候选｜优化决策｜优化/运筹,待复核资产池,待人工命名,增长与收入 × 优化决策 Preset 候选,增长与收入,优化决策,优化/运筹,176,0.933,P3-先补证,cbec-ad-attribution；cbec-ad-performance-analysis；cbec-binning-contribution；cbec-category-management；cbec-channel-effect-analysis；cbec-margin-attribution；p2s-a-mem-agentic-memory-system；p2s-a-mem-agentic-memory-system,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,2 条源文件不可稳定读取
SANBAO-7a50d0a0-优化决策,增长与收入 × 优化决策 Preset 候选｜优化决策｜知识图谱/本体建模,待复核资产池,待人工命名,增长与收入 × 优化决策 Preset 候选,增长与收入,优化决策,知识图谱/本体建模,2,0.88,P3-先补证,loyalty-points-designer；Skill-Decision-Audit-Trail-Ontology,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-5ffba5b1-优化决策,增长与收入 × 优化决策 Preset 候选｜优化决策｜视觉/多模态,待复核资产池,待人工命名,增长与收入 × 优化决策 Preset 候选,增长与收入,优化决策,视觉/多模态,3,0.937,P3-先补证,market-scenario-modeler；data-storytelling；ecommerce-sales-dashboard,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-d026b90a-优化决策,Shopify AI/BI 运营 Preset｜优化决策｜实验/评估,待复核资产池,Shopify 运营分析员,Shopify AI/BI 运营 Preset,增长与收入,优化决策,实验/评估,1,0.92,P3-先补证,pricing-strategy,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-2cbd2e82-优化决策,Shopify AI/BI 运营 Preset｜优化决策｜合规/规则扫描,原子技能组候选,Shopify 运营分析员,Shopify AI/BI 运营 Preset,增长与收入,优化决策,合规/规则扫描,5,0.938,P2-可评审,cbec-basket-analysis；p2s-profitability-waterfall-by-asin；p2s-profitability-waterfall-by-asin；pricing-page；pricing-page,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-fc127d3e-优化决策,Shopify AI/BI 运营 Preset｜优化决策｜工程模式/自动化,待复核资产池,Shopify 运营分析员,Shopify AI/BI 运营 Preset,增长与收入,优化决策,工程模式/自动化,2,0.92,P3-先补证,pricing-page；thesis-tracker,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-dfe41cd7-优化决策,增长与收入 × 优化决策 Preset 候选｜优化决策｜按技能原文流程执行,待复核资产池,待人工命名,增长与收入 × 优化决策 Preset 候选,增长与收入,优化决策,按技能原文流程执行,9,0.713,P3-先补证,单位经济测算（毛利·ROI·回本周期）；竞品价格跟踪器（价差与策略建议）；Skill-Content-ROI-Budget-Shift-Trigger；Skill-LTV-Acquisition-Budget-Gate；Skill-ROAS-Below-Target-Budget-Freeze；Skill-Search-Ad-Budget-ROI-Integration；Skill-Content-ROI-Budget-Shift-Trigger；Skill-LTV-Acquisition-Budget-Gate,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,3 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化
SANBAO-634e6bc9-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜DiD/因果推断,场景工作流候选,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,DiD/因果推断,7,0.95,P2-可评审,p2s-aigc-revenue-attribution；p2s-aigc-revenue-attribution；p2s-instagram-reels-commerce-attribution；p2s-instagram-reels-commerce-attribution；lieflat-charts；tailored-resume-generator；数据汇报文案,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-4f4421f8-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜NLP/情感分析,场景工作流候选,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,NLP/情感分析,16,0.945,P2-可评审,linkfox-fastmoss-product-rank-top-selling；linkfox-jiimore-product-discovery；mrbeast-perspective；p2s-ai-product-video-script-generator；p2s-ai-product-video-script-generator；p2s-aigc-copyright-revenue-sharing；p2s-aigc-copyright-revenue-sharing；p2s-argos-agentic-anomaly-detection,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-5d3b0548-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜预测建模,场景工作流候选,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,预测建模,10,0.946,P2-可评审,p2s-abandoned-cart-recovery-ml；p2s-abandoned-cart-recovery-ml；p2s-data-to-dashboard-multi-agent-visualization；p2s-data-to-dashboard-multi-agent-visualization；p2s-shoppable-video-cta-optimizer；p2s-shoppable-video-cta-optimizer；saas-analyzer；product-launch-planner,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-166d6109-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜优化/运筹,场景工作流候选,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,优化/运筹,8,0.94,P3-先补字段,p2s-ad-creative-personalization-bandit；p2s-ad-creative-personalization-bandit；p2s-international-search-localization；p2s-international-search-localization；数据决策分析；influencer-campaign-manager；histolab；profit-calculator,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-3553e20b-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜RAG/知识检索,待复核资产池,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,RAG/知识检索,1,0.93,P3-先补证,datamol,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-2d2d695c-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜知识图谱/本体建模,待复核资产池,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,知识图谱/本体建模,1,0.92,P3-先补证,dtc-product-selection,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-61f1810a-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜视觉/多模态,待复核资产池,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,视觉/多模态,14,0.942,P3-先补证,p2s-live-stream-highlight-extraction；p2s-live-stream-highlight-extraction；ansoff-matrix；check-deck；gif-sticker-maker；lean-canvas；lean-canvas；startup-canvas,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-c95dc675-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜实验/评估,待复核资产池,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,实验/评估,3,0.897,P3-先补证,flowio；referral-program-builder；Skill-E-Commerce-Video-Benchmark,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-9b18d00d-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜工程模式/自动化,待复核资产池,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,工程模式/自动化,5,0.896,P3-先补证,alibabacloud-video-translation；convert-java-c；make-moonbit-c-bindings；saas-landing；saas-landing,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-820b2c3b-生成制作,增长与收入 × 生成制作 Preset 候选｜生成制作｜按技能原文流程执行,待复核资产池,待人工命名,增长与收入 × 生成制作 Preset 候选,增长与收入,生成制作,按技能原文流程执行,3,0.543,P3-先补证,Skill-Multilingual-Listing-Generation；Skill-KOL-Video-ROI-Attribution；Skill-Video-ROI-Attribution,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,2 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化
SANBAO-ce0680cf-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜DiD/因果推断,待复核资产池,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,DiD/因果推断,6,0.928,P3-先补证,p2s-knowledge-graph-rec；p2s-knowledge-graph-rec；p2s-bge-m3-multilingual-embedding；p2s-bge-m3-multilingual-embedding；write-compare-report；public-relations,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-3f45d086-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜NLP/情感分析,原子技能组候选,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,NLP/情感分析,2,0.95,P2-可评审,p2s-search-tag-keyword-auto-mapping；p2s-search-tag-keyword-auto-mapping,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-4a43ef49-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜预测建模,场景工作流候选,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,预测建模,15,0.95,P2-可评审,p2s-autopkg-multimodal-product-attribute-kg；p2s-autopkg-multimodal-product-attribute-kg；p2s-hierarchical-product-kg-construction；p2s-hierarchical-product-kg-construction；p2s-kg-application-patterns；p2s-kg-application-patterns；p2s-llm-session-personalization-cache；p2s-llm-session-personalization-cache,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-b951a64f-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜优化/运筹,场景工作流候选,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,优化/运筹,12,0.95,P2-可评审,p2s-graph-knowledge-distillation-recommendation；p2s-graph-knowledge-distillation-recommendation；p2s-index-health-monitoring；p2s-index-health-monitoring；p2s-kg-augmented-recommendation-colakg；p2s-kg-augmented-recommendation-colakg；p2s-matryoshka-representation-learning；p2s-matryoshka-representation-learning,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-a3ed3ab2-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜RAG/知识检索,待复核资产池,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,RAG/知识检索,1,0.85,P3-先补证,postgresql-table-design,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-c1690b9a-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜知识图谱/本体建模,待复核资产池,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,知识图谱/本体建模,1,0.95,P3-先补证,mixpanelyst,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-f4cb974d-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜视觉/多模态,待复核资产池,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,视觉/多模态,1,0.93,P3-先补证,github-dashboard,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-6fc1fb93-检索组织,增长与收入 × 检索组织 Preset 候选｜检索组织｜工程模式/自动化,待复核资产池,待人工命名,增长与收入 × 检索组织 Preset 候选,增长与收入,检索组织,工程模式/自动化,1,0.92,P3-先补证,xlsx,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-9184849f-评估验证,增长与收入 × 评估验证 Preset 候选｜评估验证｜DiD/因果推断,Preset/数字员工能力池候选,待人工命名,增长与收入 × 评估验证 Preset 候选,增长与收入,评估验证,DiD/因果推断,45,0.943,P1-优先工作流/Preset,p2s-ab-test-logistics-sla；p2s-ab-test-logistics-sla；p2s-agentic-ab-testing；p2s-agentic-ab-testing；p2s-bayesian-ab-testing；p2s-bayesian-ab-testing；p2s-causal-forest-hte-experiment；p2s-causal-forest-hte-experiment,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-b1ff99e1-评估验证,增长与收入 × 评估验证 Preset 候选｜评估验证｜NLP/情感分析,场景工作流候选,待人工命名,增长与收入 × 评估验证 Preset 候选,增长与收入,评估验证,NLP/情感分析,11,0.95,P2-可评审,financial-report-reader；p2s-click-through-rate-title-optimizer；p2s-click-through-rate-title-optimizer；p2s-competitor-product-intelligence；p2s-competitor-product-intelligence；p2s-llm-experiment-hypothesis；p2s-llm-experiment-hypothesis；p2s-ml-model-serving-optimization,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-f7b005da-评估验证,增长与收入 × 评估验证 Preset 候选｜评估验证｜预测建模,场景工作流候选,待人工命名,增长与收入 × 评估验证 Preset 候选,增长与收入,评估验证,预测建模,24,0.95,P2-可评审,p2s-calibrated-audience-expansion-uncertainty；p2s-calibrated-audience-expansion-uncertainty；p2s-category-trend-forecasting；p2s-category-trend-forecasting；p2s-customer-survival-analysis；p2s-customer-survival-analysis；p2s-early-stopping-regularization；p2s-early-stopping-regularization,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-0f6b6367-评估验证,增长与收入 × 评估验证 Preset 候选｜评估验证｜优化/运筹,场景工作流候选,待人工命名,增长与收入 × 评估验证 Preset 候选,增长与收入,评估验证,优化/运筹,17,0.934,P2-可评审,p2s-adaptive-experiment-design；p2s-adaptive-experiment-design；p2s-interleaving-experiment-recommendation；p2s-interleaving-experiment-recommendation；p2s-interleaving-ranking-ab-test；p2s-interleaving-ranking-ab-test；p2s-multi-cell-factorial-experiment；p2s-multi-cell-factorial-experiment,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-610b1c8a-评估验证,增长与收入 × 评估验证 Preset 候选｜评估验证｜实验/评估,场景工作流候选,待人工命名,增长与收入 × 评估验证 Preset 候选,增长与收入,评估验证,实验/评估,11,0.939,P3-先补字段,http-load-tester；p2s-agent-capability-evaluation；p2s-agent-capability-evaluation；p2s-interleaving-experiment-design；p2s-interleaving-experiment-design；experiment-readout；experiment-readout；saas-metrics-coach,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-4057ca50-评估验证,增长与收入 × 评估验证 Preset 候选｜评估验证｜工程模式/自动化,待复核资产池,待人工命名,增长与收入 × 评估验证 Preset 候选,增长与收入,评估验证,工程模式/自动化,1,0.95,P3-先补证,code-gen-independent,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-a69951b6-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜DiD/因果推断,Preset/数字员工能力池候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,DiD/因果推断,64,0.95,P1-优先工作流/Preset,p2s-ai-content-marketing-growth；p2s-ai-content-marketing-growth；p2s-caged-debiased-rec；p2s-caged-debiased-rec；p2s-causal-deconfounded-recommendation；p2s-causal-deconfounded-recommendation；p2s-cda-privacy-causal-attribution；p2s-cda-privacy-causal-attribution,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-243debae-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜NLP/情感分析,场景工作流候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,NLP/情感分析,28,0.946,P1-优先工作流/Preset,p2s-amazon-a10-algorithm-ranking；p2s-amazon-a10-algorithm-ranking；p2s-blue-ocean-category-discovery；p2s-blue-ocean-category-discovery；p2s-cognitive-load-ux-optimizer；p2s-cognitive-load-ux-optimizer；p2s-compliant-dynamic-pricing-guard；p2s-compliant-dynamic-pricing-guard,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-718c2fff-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜预测建模,Preset/数字员工能力池候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,预测建模,70,0.95,P1-优先工作流/Preset,p2s-budget-reforecast-rolling；p2s-budget-reforecast-rolling；p2s-case-cadence-aware-repurchase-prediction；p2s-case-cadence-aware-repurchase-prediction；p2s-continuous-nlp-seo-morphing；p2s-continuous-nlp-seo-morphing；p2s-continuous-nlp-seo-morphing；p2s-cross-border-returns-cost-model,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-ad58526b-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜优化/运筹,场景工作流候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,优化/运筹,35,0.949,P1-优先工作流/Preset,p2s-ad-fraud-ivt-detection；p2s-ad-fraud-ivt-detection；p2s-advertising-api-unified-schema；p2s-advertising-api-unified-schema；p2s-contribution-margin-by-channel；p2s-contribution-margin-by-channel；p2s-cross-border-tax-tariff-modeling；p2s-cross-border-tax-tariff-modeling,进入业务价值与场景边界评审：确认输入、输出、责任人、验收证据和上下游关系。,可进入下一轮业务聚类评审
SANBAO-5bb6e47f-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜RAG/知识检索,场景工作流候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,RAG/知识检索,6,0.95,P2-可评审,p2s-graph-neural-lookalike-propagation；p2s-graph-neural-lookalike-propagation；p2s-sparse-autoencoder-feature；p2s-sparse-autoencoder-feature；p2s-text2sql-schema-linking；p2s-text2sql-schema-linking,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-7fee7863-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜知识图谱/本体建模,场景工作流候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,知识图谱/本体建模,12,0.95,P2-可评审,p2s-cross-platform-account-linkage-risk；p2s-cross-platform-account-linkage-risk；p2s-epr-extended-producer-responsibility-tag；p2s-epr-extended-producer-responsibility-tag；p2s-kg-incremental-update-pipeline；p2s-kg-incremental-update-pipeline；p2s-knowledge-graph-auto-update；p2s-multi-currency-pnl-reconciliation,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-4dd790ba-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜实验/评估,待复核资产池,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,实验/评估,3,0.95,P3-先补证,p2s-tag-fairness-bias-audit；financial-report；货盘结构分析（引流·利润·形象款比例）,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-da230580-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜合规/规则扫描,原子技能组候选,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,合规/规则扫描,4,0.95,P2-可评审,p2s-brand-hijacking-realtime-monitor；p2s-brand-hijacking-realtime-monitor；p2s-fx-dynamic-pricing-adjustment；p2s-fx-dynamic-pricing-adjustment,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-37c313e7-治理合规,增长与收入 × 治理合规 Preset 候选｜治理合规｜按技能原文流程执行,待复核资产池,待人工命名,增长与收入 × 治理合规 Preset 候选,增长与收入,治理合规,按技能原文流程执行,1,0.95,P3-先补证,KA 财务测算（毛利、促销 ROI、账期与条款敏感性）,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-7254f96e-数据质量,增长与收入 × 数据质量 Preset 候选｜数据质量｜DiD/因果推断,场景工作流候选,待人工命名,增长与收入 × 数据质量 Preset 候选,增长与收入,数据质量,DiD/因果推断,17,0.935,P2-可评审,p2s-baby-age-clock-rfm-enhancement；p2s-baby-age-clock-rfm-enhancement；p2s-data-collection-causal-debiasing；p2s-data-collection-causal-debiasing；p2s-experiment-data-quality-guard；p2s-experiment-data-quality-guard；p2s-loyalty-program-roi-modeling；p2s-loyalty-program-roi-modeling,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
