cluster_id,业务价值类型,问题类型,主核心能力,skill_count,high_confidence_count,needs_review_count,review_ratio,text_quality_risk_count,avg_confidence,top_sources,top_scenarios,三宝候选层级,三宝Preset候选,数字员工候选,代表技能,聚类说明,复核原因,代表用途
C-a2b41a57-优化决策,增长与收入,优化决策,NLP/情感分析,37,37,5,0.135,0,0.949,home_skill:19；project_skill:18,业务经营与AgenticOS:24；研发与代码:11；图像/视频/创意生产:2,Preset/数字员工能力池候选,Shopify AI/BI 运营 Preset,Shopify 运营分析员,p2s-aigp-llm-dynamic-pricing；p2s-aigp-llm-dynamic-pricing；p2s-human-ai-calibrated-trust；p2s-human-ai-calibrated-trust；p2s-long-tail-keyword-mining；p2s-long-tail-keyword-mining；p2s-ltv-prediction-ziln；p2s-ltv-prediction-ziln,围绕增长与收入中的优化决策问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,触发词：动态定价、长期价值、旺季定价、竞品跟价、折扣锚点。何时不用：只看单次竞品调价跟不跟用「竞品价格监测」；本技能优化的是跨周期的 GMV 与品牌溢价。安全边界：无。；触发词：动态定价、长期价值、旺季定价、竞品跟价、折扣锚点。何时不用：只看单次竞品调价跟不跟用「竞品价格监测」；本技能优化的是跨周期的 GMV 与品牌溢价。安全边界：无。；触发词：人机信任校准、自动化偏见、人工审核阈值、置信度门控、审核工作量。何时不用：只生成模型解释帮助理解决策时用「AI Transparency Explanation」；算法偏见审计用「Algorithmic Accountability Audit」。安全边界：人类保留最终决策权，不得用高自动化率替代必要的复核；高风险决策（断货、合规等）不得全自动放行。
C-4a66cc08-优化决策,增长与收入,优化决策,预测建模,131,131,16,0.122,0,0.947,home_skill:65；project_skill:62；icloud_skill:4,业务经营与AgenticOS:68；研发与代码:48；数据分析与BI:8；customer-crm:2；文档与知识:2,Preset/数字员工能力池候选,Shopify AI/BI 运营 Preset,Shopify 运营分析员,cbec-complex-contribution；cbec-pricing-optimization；p2s-abandoned-cart-recovery-trigger；p2s-abandoned-cart-recovery-trigger；p2s-account-health-proactive-monitor；p2s-account-health-proactive-monitor；p2s-ad-spend-inventory-sync；p2s-ad-spend-inventory-sync,围绕增长与收入中的优化决策问题，主要使用预测建模能力处理。,可进入下一轮业务聚类评审,"跨境电商复杂指标贡献度分析Skill。处理任意四则运算组合的指标关系，基于偏微分和全微分计算各过程指标的静态贡献度、波动贡献度和贡献占比。 触发条件: 1. 用户提到""复杂贡献度""、""偏微分贡献""、""全微分归因"" 2. 用户询问""多因素贡献""、""复合指标归因""、""四则运算贡献"" 3. 指标关系包含加减乘除混合运算 4. 需要精确计算各因素的敏感度和贡献占比 5. 用户提到""弹性系数""、""敏感度分析""、""贡献分解"" 输出内容: - 各因…；母婴跨境电商定价优化分析Skill。基于价格弹性分析、竞品定价对比、促销效果评估，充分考虑母婴行业特性(安全溢价、订阅定价、生命周期定价)，提供科学的定价策略建议。 触发条件: 1. 用户提到""定价策略""、""价格优化""、""调价建议""、""母婴定价"" 2. 用户询问""价格弹性""、""最优定价""、""动态定价""、""安全溢价"" 3. 用户需要""竞品价格对比""、""促销定价""、""订阅定价""分析 4. 用户询问""订阅制定价""、""宝宝月龄定价""、""节日定…；触发词：加购未购、超时触发、挽回序列、定时触达、冷却期。何时不用：要先给弃购用户分型再决定策略用「弃购挽回机器学习」；要给用户算购买意图分档用「购买意图预…"
C-9e0d43bd-优化决策,增长与收入,优化决策,优化/运筹,176,174,70,0.398,2,0.933,home_skill:88；project_skill:72；icloud_skill:11；icloud_paper_file_skill:5,研发与代码:64；业务经营与AgenticOS:58；数据分析与BI:18；文档与知识:11；产品设计与UIUX:6,待复核资产池,增长与收入 × 优化决策 Preset 候选,待人工命名,cbec-ad-attribution；cbec-ad-performance-analysis；cbec-binning-contribution；cbec-category-management；cbec-channel-effect-analysis；cbec-margin-attribution；p2s-a-mem-agentic-memory-system；p2s-a-mem-agentic-memory-system,围绕增长与收入中的优化决策问题，主要使用优化/运筹能力处理。,2 条源文件不可稳定读取,"跨境电商广告归因分析Skill。提供多触点归因、ROAS分析、渠道效率评估、投放优化建议，帮助优化广告投放ROI。 触发条件: 1. 用户提到""广告归因""、""ROAS""、""广告效果"" 2. 用户询问""渠道效率""、""投放优化""、""多触点归因"" 3. 用户需要""广告ROI""、""获客成本""分析 输出内容: - 多触点归因分析 - ROAS计算与评估 - 渠道效率对比 - 投放优化建议；跨境电商广告效果分析技能，用于评估广告投放效果、优化广告策略和提升ROI。 触发条件: 1. 用户询问""广告效果怎么样"" 2. 需要优化广告投放策略时 3. 计算广告ROI时 4. A/B测试广告效果时 5. 广告预算分配决策时 输出内容: - 广告效果指标分析 - 广告ROI计算 - 广告优化建议 - 预算分配建议；跨境电商分箱贡献分析Skill。按任意维度分箱（客单价、客品数等），计算各分箱对指标的静态/动态贡献，支持等频/等距分箱策略。 触发条件: 1. 用户提到""分箱分析""、""分档分析""、""区间分析"" 2. 用户询问""客单价分档贡献""、""客品数区间贡献"" 3. 用户需要""区间划分""、""贡献区间识别"" 4. 用户提到""等频分箱""、""等距分箱""…"
C-7a50d0a0-优化决策,增长与收入,优化决策,知识图谱/本体建模,2,2,2,1.0,0,0.88,home_skill:1；icloud_paper_file_skill:1,pricing-promotions:1；文档与知识:1,待复核资产池,增长与收入 × 优化决策 Preset 候选,待人工命名,loyalty-points-designer；Skill-Decision-Audit-Trail-Ontology,围绕增长与收入中的优化决策问题，主要使用知识图谱/本体建模能力处理。,超过半数记录需要字段复核,"用于loyalty points designer：A loyalty points program rewards repeat customers with points earned on purchases and specific actions, which can be redeemed for discounts. Effective programs use tiered progression (e.g., Bronze → Silver → Gold) to unlock escalatin…；{""round"": 0, ""status"": ""keep"", ""score"": 77.0, ""best"": 77.0, ""mutated"": ""D4 roi"", ""ts"": ""2026-07-04T04:59:55.802488""} {""round"": 0, ""status"": ""patch nothing"", ""score"": 81.0, ""best"": 81.0, ""mutated"": ""none"", ""ts"": ""2026-07…"
C-5ffba5b1-优化决策,增长与收入,优化决策,视觉/多模态,3,3,3,1.0,0,0.937,home_skill:2；project_skill:1,数据分析与BI:2；data-analytics:1,待复核资产池,增长与收入 × 优化决策 Preset 候选,待人工命名,market-scenario-modeler；data-storytelling；ecommerce-sales-dashboard,围绕增长与收入中的优化决策问题，主要使用视觉/多模态能力处理。,超过半数记录需要字段复核,"Toolkit for building TAM/SAM/SOM models, sensitivity analyses, and narrative-ready visuals.；用于data storytelling：------------- -------- -------------------------------- Data Evidence Numbers, trends, comparisons Narrative Meaning Context, causation, implications Visuals Clarity Charts, diagrams, highlights；用于ecommerce sales dashboard：A high-performance sales dashboard transforms raw transactional data into actionable business intelligence. It serves as the ""cockpit"" for ecommerce operators, providing real-time visi…"
C-d026b90a-优化决策,增长与收入,优化决策,实验/评估,1,1,1,1.0,0,0.92,home_skill:1,数据分析与BI:1,待复核资产池,Shopify AI/BI 运营 Preset,Shopify 运营分析员,pricing-strategy,围绕增长与收入中的优化决策问题，主要使用实验/评估能力处理。,超过半数记录需要字段复核,"Design, optimize, and communicate SaaS pricing — tier structure, value metrics, pricing pages, and price increase strategy. Use when building a pricing model from scratch, redesigning existing pricing, planning a price…"
C-2cbd2e82-优化决策,增长与收入,优化决策,合规/规则扫描,5,5,2,0.4,0,0.938,home_skill:3；icloud_skill:1；project_skill:1,业务经营与AgenticOS:2；产品设计与UIUX:2；11-user-behavior-analysis:1,原子技能组候选,Shopify AI/BI 运营 Preset,Shopify 运营分析员,cbec-basket-analysis；p2s-profitability-waterfall-by-asin；p2s-profitability-waterfall-by-asin；pricing-page；pricing-page,围绕增长与收入中的优化决策问题，主要使用合规/规则扫描能力处理。,可进入下一轮业务聚类评审,购物篮分析 — 基于关联规则挖掘用户连带购买行为，识别高置信度商品组合和典型需求场景，输出支持度/置信度/提升度指标与搭售策略建议。触发词：购物篮分析、连带购买、搭售策略、关联规则、商品组合、Apriori、Market Basket Analysis。；触发词：单品盈利瀑布、ASIN 盈亏、广告占比预警、净利率排名、预算再分配。何时不用：要按四层口径做 SKU 损益归因用「SKU 级损益归因」；要提前预警 FBA 费用率与长库龄用「FBA 费用结构分析」。安全边界：结论用于内部投放与定价调整，不对外披露单品成本结构；阈值参数须按品类校准后使用。；触发词：单品盈利瀑布、ASIN 盈亏、广告占比预警、净利率排名、预算再分配。何时不用：要按四层口径做 SKU 损益归因用「SKU 级损益归因」；要提前预警 FBA 费用率与长库龄用「FBA 费用结构分析」。安全边界：结论用于内部投放与定价调整，不对外披露单品成本结构；阈值参数须按品类校准后使用。
C-fc127d3e-优化决策,增长与收入,优化决策,工程模式/自动化,2,2,2,1.0,0,0.92,home_skill:2,产品设计与UIUX:1；协作与外部工具:1,待复核资产池,Shopify AI/BI 运营 Preset,Shopify 运营分析员,pricing-page；thesis-tracker,围绕增长与收入中的优化决策问题，主要使用工程模式/自动化能力处理。,超过半数记录需要字段复核,"A standalone pricing page — header, plan tiers, feature comparison table, and an FAQ. Use when the brief asks for ""pricing"", ""plans"", ""subscription tiers"", or a ""compare plans"" page.；Maintain and update investment theses for portfolio positions and watchlist names. Track key data points, catalysts, and thesis milestones over time. Use when updating a thesis with new information, reviewing position r…"
C-dfe41cd7-优化决策,增长与收入,优化决策,按技能原文流程执行,9,6,9,1.0,3,0.713,icloud_paper_file_skill:7；icloud_skill:2,文档与知识:9,待复核资产池,增长与收入 × 优化决策 Preset 候选,待人工命名,单位经济测算（毛利·ROI·回本周期）；竞品价格跟踪器（价差与策略建议）；Skill-Content-ROI-Budget-Shift-Trigger；Skill-LTV-Acquisition-Budget-Gate；Skill-ROAS-Below-Target-Budget-Freeze；Skill-Search-Ad-Budget-ROI-Integration；Skill-Content-ROI-Budget-Shift-Trigger；Skill-LTV-Acquisition-Budget-Gate,围绕增长与收入中的优化决策问题，主要使用按技能原文流程执行能力处理。,3 条源文件不可稳定读取；超过半数记录需要字段复核；核心能力未结构化,"当需要基于采购成本、物流费用、平台佣金与投放成本测算单 SKU 毛利率、ROI 与回本周期时调用。；当价格竞争加剧或转化率下降时，跟踪竞品价格与促销并输出应对建议。；{""round"": -1, ""status"": ""skip"", ""score"": 90.0, ""best"": 90.0, ""ts"": ""2026-07-04T03:17:10.256362""}"
C-634e6bc9-生成制作,增长与收入,生成制作,DiD/因果推断,7,7,3,0.429,0,0.95,home_skill:5；project_skill:2,研发与代码:4；数据分析与BI:3,场景工作流候选,增长与收入 × 生成制作 Preset 候选,待人工命名,p2s-aigc-revenue-attribution；p2s-aigc-revenue-attribution；p2s-instagram-reels-commerce-attribution；p2s-instagram-reels-commerce-attribution；lieflat-charts；tailored-resume-generator；数据汇报文案,围绕增长与收入中的生成制作问题，主要使用DiD/因果推断能力处理。,可进入下一轮业务聚类评审,"用于品牌每月花 $2000 请摄影师拍吸奶器产品图，同时用 Midjourney 生成图片花费 $50。AI 图的质量""看起来差不多""，但不知道用 AI 图是否会损失转化率，还是可以全面替换。，通过DiD/因果推断；预测建模；优化/运筹形成- AI 图 vs 人工图的 CTR/CVR 对比（含置信区间） - 每月内容成本对比：$2000 vs $50 - 增量 GMV/成本比：AI 图的真实内容 ROI - 决策建议：全替换/混用/某些品类保留人工。；用于品牌每月花 $2000 请摄影师拍吸奶器产品图，同时用 Midjourney 生成图片花费 $50。AI 图的质量""看起来差不多""，但不知道用 AI 图是否会损失转化率，还是可以全面替换。，通过DiD/因果推断；预测建模；优化/运筹形成- AI 图 vs 人工图的 CTR/CVR 对比（含置信区间） - 每月内容成本对比：$2000 vs $50 - 增量 GMV/成本比：AI 图的真实内容 ROI - 决策建议：全替换/混用/某些品类保留人工。；触发词：Reels归因、跨平台链路、多触点归因、内容ROAS、UTM追踪。何时不用：需要严格因果增量而非归因拆分时用Geo H…"
C-4f4421f8-生成制作,增长与收入,生成制作,NLP/情感分析,16,16,1,0.062,0,0.945,home_skill:8；project_skill:7；icloud_skill:1,研发与代码:10；业务经营与AgenticOS:4；产品设计与UIUX:1；协作与外部工具:1,场景工作流候选,增长与收入 × 生成制作 Preset 候选,待人工命名,linkfox-fastmoss-product-rank-top-selling；linkfox-jiimore-product-discovery；mrbeast-perspective；p2s-ai-product-video-script-generator；p2s-ai-product-video-script-generator；p2s-aigc-copyright-revenue-sharing；p2s-aigc-copyright-revenue-sharing；p2s-argos-agentic-anomaly-detection,围绕增长与收入中的生成制作问题，主要使用NLP/情感分析能力处理。,可进入下一轮业务聚类评审,"通过FastMoss数据查询TikTok全球电商市场的热销商品排行榜，支持按日/周/月维度和类目维度分析。当用户提到TikTok热销榜、TikTok爆品排行、TikTok销量排行、TikTok GMV排名、TikTok类目热销、TikTok选品周报、TikTok top-selling rankings, TikTok bestseller charts, TikTok GMV ranking, TikTok category hot…；基于极目数据的亚马逊商品发掘与潜力爆品挖掘。当用户提到产品挖掘、潜力爆品、高转化选品、点击增长分析、市场增长机会、关键词选品、FBA利润筛选、细分市场商品发掘、卖家来源筛选、product mining, potential bestsellers, high-conversion product selection, market growth opportunities, Jiimore data, FBA profitabili…；MrBeast（Jimmy Donaldson）的内容创造操作系统。基于泄露的36页内部培训手册、 6个深度播客、决策记录和外部批评的深度调研，提炼6个核…"
